"",,,Social,Positive,Negative,GDP per,Healthy life
Country,Region,Ladder,support Freedom Corruption Donation Generosity,affect,affect,capita,expectancy
Mozambique,9,4.713,0.813,0.664,0.804,0.171,0.039,0.628,0.284,681.976,36.887
Myanmar,3,5.322,0.886,,,0.365,,0.642,0.070,,53.080
Namibia,9,4.886,0.828,0.781,0.839,0.174,-0.106,0.811,0.160,5471.78,43.500
Nepal,4,4.658,0.830,0.551,0.894,0.490,0.333,0.680,0.162,961.73,51.250
Netherlands,0,7.458,0.946,0.898,0.484,0.749,0.334,0.843,0.223,35359.4,71.164
New Zealand,7,7.432,0.952,0.918,0.228,0.683,0.289,0.869,0.227,25247.9,70.455
Nicaragua,6,4.707,0.872,0.791,0.836,0.304,0.065,0.794,0.291,3073.4,61.339
Niger,9,4.000,0.701,0.668,0.753,0.130,0.005,0.731,0.169,616.348,35.314
Nigeria,9,4.800,0.726,0.642,0.903,0.334,0.134,0.804,0.160,1781.1,41.297
Norway,0,7.416,0.959,0.960,0.377,0.524,0.090,0.832,0.197,47626.3,71.954
Pakistan,4,5.506,0.522,0.490,0.818,0.308,0.091,0.683,0.280,2132.26,52.836
Palestine,8,4.433,0.765,0.455,0.860,0.135,,0.532,0.421,,60.562
Panama,6,6.510,0.944,0.761,0.914,0.346,0.027,0.833,0.191,9472.47,65.927
Paraguay,6,5.002,0.879,0.695,0.888,0.377,0.121,0.841,0.261,3932.83,61.913
Peru,6,5.013,0.815,0.653,0.913,0.198,-0.095,0.727,0.391,6596.16,60.884
Philippines,3,4.854,0.798,0.839,0.862,0.266,0.026,0.810,0.378,3101.87,59.421
Poland,1,5.737,0.917,0.777,0.957,0.293,-0.057,0.738,0.260,13974.5,65.392
Portugal,0,5.405,0.905,0.882,0.868,0.189,-0.188,0.709,0.333,21369,69.587
Puerto Rico,6,6.593,0.927,0.755,0.880,0.305,-0.086,0.828,0.249,26053.7,65.953
Romania,1,5.219,0.788,0.745,0.953,0.147,-0.177,0.643,0.312,9544.11,62.702
